Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
1,1,1,0,0,0,0
2,0,1,0,0,0,0
3,0,1,0,0,0,0
4,1,2,0,0,0,0
5,1,3,0,0,0,0
6,0,3,0,0,0,0
7,0,3,0,0,0,0
8,0,3,0,0,0,0
9,0,3,0,0,0,0
10,0,3,0,0,0,0
11,0,3,0,0,0,0
12,0,3,0,0,0,0
13,0,3,0,0,0,0
14,0,3,0,0,0,0
15,0,3,1,1,0,0
16,0,3,0,1,0,0
17,0,3,0,1,0,0
18,0,3,1,2,0,0
19,0,3,0,2,0,0
20,0,3,0,2,0,0
21,0,3,0,2,0,0
22,0,3,1,3,0,0
23,0,3,0,3,0,0
24,0,3,0,3,0,0
25,0,3,0,3,0,0
26,0,3,0,3,0,0
27,0,3,0,3,0,0
28,0,3,0,3,0,0
29,0,3,0,3,0,0
30,0,3,0,3,0,0
31,0,3,0,3,0,0
32,0,3,0,3,0,0
33,2,5,0,3,0,0
34,1,6,0,3,0,0
35,22,28,0,3,0,0
36,1,31,0,3,0,0
37,3,34,0,3,0,0
38,5,39,0,3,0,0
39,9,48,0,3,0,0
40,15,63,1,4,0,0
41,8,71,0,4,0,0
42,10,81,0,4,1,1
43,10,91,6,10,0,1
44,11,102,0,10,1,2
45,10,112,3,13,0,2
46,14,126,1,14,0,2
47,20,146,1,15,1,3
48,25,171,0,15,0,3
49,27,198,5,20,1,4
50,58,256,3,23,0,4
51,78,334,0,23,0,4
52,69,403,0,23,3,7
53,94,497,2,25,2,9
54,74,571,15,40,1,10
55,86,657,3,43,1,11
56,73,730,7,50,5,16
57,153,883,25,75,3,19
58,136,1019,10,85,5,24
59,120,1139,17,102,3,27
60,187,1326,35,137,14,41
61,309,1635,13,150,6,47
62,424,2059,19,169,6,53
63,486,2545,22,191,16,69
64,560,3105,39,230,14,83
65,579,3684,56,286,13,96
66,609,4293,43,329,22,118
67,484,4777,65,394,16,134
68,573,5350,75,469,27,161
69,565,5915,96,565,20,181
70,813,6728,70,635,46,227
71,871,7599,151,786,22,249
72,854,8453,186,972,41,290
73,758,9211,114,1086,42,332
74,1243,10454,112,1198,27,359
75,1031,11485,167,1365,37,396
76,886,12371,144,1509,27,423
77,1061,13432,258,1767,26,449
78,922,14354,273,2040,38,487
79,1371,15725,426,2466,35,522
80,1580,17305,388,2854,38,560
81,1239,18544,419,3273,33,593
82,1537,20081,703,3976,53,646
83,1292,21373,394,4370,36,682
84,1667,23040,642,5012,40,722
85,1408,24448,484,5496,59,781
86,1835,26283,442,5938,44,825
87,1607,27890,585,6523,56,881
88,1568,29458,580,7103,58,939
89,1902,31360,636,7739,69,1008
90,1705,33065,690,8429,71,1079
91,1801,34866,630,9059,75,1154
92,2396,37262,962,10021,77,1231
93,2564,39826,831,10852,92,1323
94,2952,42778,911,11763,140,1463
95,3656,46434,1082,12845,103,1566
96,2971,49405,1295,14140,128,1694
97,3602,53007,1161,15301,91,1785
98,3344,56351,1475,16776,104,1889
99,3339,59690,1111,17887,97,1986
100,3175,62865,1414,19301,115,2101
101,4311,67176,1669,20970,112,2213
102,3592,70768,1579,22549,81,2294
103,3562,74330,1905,24454,120,2414
104,3726,78056,1963,26417,137,2551
105,3991,82047,1594,28011,97,2648
106,3808,85855,2234,30245,104,2752
107,4794,90649,4012,34257,120,2872
108,5049,95698,2538,36795,152,3024
109,4628,100326,2482,39277,131,3155
110,6154,106480,3032,42309,146,3301
111,5720,112200,3113,45422,134,3435
112,6023,118223,3131,48553,148,3583
113,6536,124759,3280,51833,142,3725
114,6667,131424,2576,54409,142,3867
115,7111,138537,3285,57694,156,4023
116,6414,144951,3012,60706,150,4173
117,5907,150858,3585,64291,173,4346
118,7246,158104,3434,67725,188,4534
119,7254,165358,3171,70896,176,4710
120,8138,173496,11735,82631,269,4979
121,8364,181860,4303,86934,205,5184
122,8789,190649,4928,91862,222,5406
123,7723,198372,3882,95744,201,5607
124,8812,207187,4531,100275,222,5829
125,9689,216876,3789,104064,259,6088
126,9847,226723,4390,108454,274,6362
127,9472,236195,4770,113224,286,6648
128,10408,246603,5433,118657,297,6945
129,10882,257485,5191,123848,261,7206
130,8536,266021,5171,129019,271,7477
131,9981,276002,5634,134653,272,7749
132,11156,287158,6275,140928,358,8107
133,11135,298293,6044,146972,394,8501
134,11306,309599,7263,154235,388,8889
135,12039,321638,8092,162327,309,9198
136,11405,333043,7358,169685,324,9522
137,10032,343075,10639,180324,396,9918
138,11086,354161,7226,187550,2004,11922
139,13108,367269,6890,194440,341,12263
140,13829,381098,10741,205181,343,12606
141,14740,395838,9029,214210,364,12970
142,15918,411753,13974,228184,308,13278
143,15151,426904,9075,237259,426,13704
144,13560,440464,10879,248138,312,14016
145,15656,456120,10462,258600,468,14484
146,16868,472988,13089,271689,424,14908
147,18205,491193,13983,285672,401,15309
148,18255,509448,10246,295918,381,15690
149,20142,529590,14229,310147,414,16104
150,19610,549200,11631,321778,384,16488
151,18339,567539,13497,335275,417,16905
152,18256,585795,12565,347840,506,17411
153,19429,605224,12064,359904,438,17849
154,21947,627171,19999,379903,378,18227
155,22718,649889,14417,394320,444,18671
156,24018,673907,14746,409066,611,19282
157,23942,697849,15829,424895,421,19703
158,22500,720349,15315,440210,473,20176
159,23147,743496,16836,457046,479,20655
160,25561,769057,19508,476554,492,21147
161,25790,794847,19408,495962,479,21626
162,27762,822609,20289,516251,520,22146
163,27757,850366,19981,536232,543,22689
164,29106,879472,18198,554430,500,23189
165,28178,907650,17683,572113,541,23730
166,29917,937567,20977,593090,587,24317
167,32607,970174,20646,613736,614,24931
168,35468,1005642,22867,636603,680,25611
169,34820,1040462,17476,654079,676,26287
170,37407,1077869,23579,677658,543,26830
171,40243,1118112,22742,700400,675,27505
172,36806,1154918,24303,724703,596,28101
